Level 2,GDP
Engineering Industry (excluding Civils),0.10
Engineering Industry (excluding Civils),0.06
Engineering Industry (excluding Civils),0.08
Engineering Industry (excluding Civils),0.08
Engineering Industry (excluding Civils),0.07
Engineering Industry (excluding Civils),0.09
Engineering Industry (excluding Civils),0.05
Engineering Industry (excluding Civils),0.06
Engineering Industry (excluding Civils),0.06
Engineering Industry (excluding Civils),0.08
Engineering Industry (excluding Civils),0.08
Engineering Industry (excluding Civils),0.07
Engineering Industry (excluding Civils),0.08
Engineering Industry (excluding Civils),0.08
Engineering Industry (excluding Civils),0.09
Engineering Industry (excluding Civils),0.11
Engineering Industry (excluding Civils),0.13
Engineering Industry (excluding Civils),0.12
Engineering Industry (excluding Civils),0.10
Engineering Industry (excluding Civils),0.10
Engineering Industry (excluding Civils),0.07
Engineering Industry (excluding Civils),0.08
Engineering Industry (excluding Civils),0.12
Engineering Industry (excluding Civils),0.08
Engineering Industry (excluding Civils),0.08
Engineering Industry (excluding Civils),0.13
Engineering Industry (excluding Civils),0.10
Engineering Industry (excluding Civils),0.13
Engineering Industry (excluding Civils),0.15
Engineering Industry (excluding Civils),0.08
Engineering Industry (excluding Civils),0.08
Engineering Industry (excluding Civils),0.12
Engineering Industry (excluding Civils),2.08
Engineering Industry (excluding Civils),1.58
Engineering Industry (excluding Civils),1.59
Engineering Industry (excluding Civils),1.27
Engineering Industry (excluding Civils),2.03
Engineering Industry (excluding Civils),2.35
Engineering Industry (excluding Civils),1.93
Engineering Industry (excluding Civils),2.52
Engineering Industry (excluding Civils),1.38
Engineering Industry (excluding Civils),1.18
Engineering Industry (excluding Civils),2.00
Engineering Industry (excluding Civils),1.14
Engineering Industry (excluding Civils),2.34
Engineering Industry (excluding Civils),2.02
Engineering Industry (excluding Civils),1.90
Engineering Industry (excluding Civils),0.62
Engineering Industry (excluding Civils),0.67
Engineering Industry (excluding Civils),0.53
Engineering Industry (excluding Civils),0.83
Engineering Industry (excluding Civils),0.46
Engineering Industry (excluding Civils),0.61
Engineering Industry (excluding Civils),0.98
Engineering Industry (excluding Civils),0.68
