Level 2,Level 3,Level 4,Level 5,GVA,GDP,Total Sales m,Available Sales m
Engineering Industry (excluding Civils), Strategy,Discovery,Brand audit,0.08,0.10,0.07,0.02
Engineering Industry (excluding Civils), Strategy,Discovery,Market research,0.05,0.06,0.04,0.01
Engineering Industry (excluding Civils), Strategy,Discovery,MarketCompetitor Analysis,0.07,0.08,0.06,0.03
Engineering Industry (excluding Civils), Strategy,Discovery,Problem definition,0.07,0.08,0.06,0.03
Engineering Industry (excluding Civils), Strategy,Discovery,Customer insights,0.05,0.07,0.04,0.01
Engineering Industry (excluding Civils), Strategy,Discovery,Customer journey mapping,0.07,0.09,0.06,0.02
Engineering Industry (excluding Civils), Strategy,Discovery,Problem definition,0.04,0.05,0.03,0.01
Engineering Industry (excluding Civils), Strategy,Discovery,Brand strategy review,0.05,0.06,0.04,0.02
Engineering Industry (excluding Civils), Strategy,Discovery,Organisational structure review,0.05,0.06,0.04,0.02
Engineering Industry (excluding Civils), Strategy,Discovery,Resource needs identified,0.06,0.08,0.05,0.01
Engineering Industry (excluding Civils), Strategy,Discovery,Comms audit,0.06,0.08,0.05,0.01
Engineering Industry (excluding Civils), Strategy,Discovery,Channel analysis,0.05,0.07,0.05,0.02
Engineering Industry (excluding Civils), Strategy,Define,Brand strategy development,0.07,0.08,0.05,0.01
Engineering Industry (excluding Civils), Strategy,Define,Competitive Positioning ,0.07,0.08,0.05,0.02
Engineering Industry (excluding Civils), Strategy,Define,Brand Definition,0.07,0.09,0.06,0.02
Engineering Industry (excluding Civils), Strategy,Define,Customer segmentation,0.08,0.11,0.07,0.04
Engineering Industry (excluding Civils), Strategy,Define,Customer journey development,0.10,0.13,0.09,0.05
Engineering Industry (excluding Civils), Strategy,Define,Customer experience strategy,0.09,0.12,0.08,0.03
Engineering Industry (excluding Civils), Strategy,Define,Channel strategy,0.08,0.10,0.07,0.02
Engineering Industry (excluding Civils), Strategy,Define,Digital strategy,0.08,0.10,0.06,0.03
Engineering Industry (excluding Civils), Strategy,Define,Service definition,0.05,0.07,0.05,0.01
Engineering Industry (excluding Civils), Strategy,Define,Product ideation,0.06,0.08,0.05,0.03
Engineering Industry (excluding Civils), Strategy,Define,Customer segmentation,0.10,0.12,0.09,0.05
Engineering Industry (excluding Civils), Strategy,Define,Persona development,0.06,0.08,0.05,0.02
Engineering Industry (excluding Civils), Strategy,Define,Customer journey development,0.06,0.08,0.05,0.01
Engineering Industry (excluding Civils), Strategy,Define,Customer experience strategy,0.10,0.13,0.09,0.03
Engineering Industry (excluding Civils), Strategy,Define,Product ideation,0.08,0.10,0.07,0.03
Engineering Industry (excluding Civils), Strategy,Define,Engagement strategy,0.11,0.13,0.09,0.04
Engineering Industry (excluding Civils), Strategy,Define,Campaign idea,0.12,0.15,0.10,0.02
Engineering Industry (excluding Civils), Strategy,Define,Program design,0.06,0.08,0.05,0.02
Engineering Industry (excluding Civils), Strategy,Define,Content definition,0.06,0.08,0.05,0.02
Engineering Industry (excluding Civils), Strategy,Define,Program planning ,0.10,0.12,0.08,0.05
Engineering Industry (excluding Civils), Strategy,Develop,Value proposition,1.59,2.08,1.35,0.66
Engineering Industry (excluding Civils), Strategy,Develop,Brand architecture,1.28,1.58,1.08,0.64
Engineering Industry (excluding Civils), Strategy,Develop,Vision  Purpose,1.23,1.59,1.08,0.46
Engineering Industry (excluding Civils), Strategy,Develop,Mission  Ambition,1.01,1.27,0.85,0.49
Engineering Industry (excluding Civils), Strategy,Develop,Brand story,1.68,2.03,1.39,0.62
Engineering Industry (excluding Civils), Strategy,Develop,Customer experience design,1.79,2.35,1.51,0.54
Engineering Industry (excluding Civils), Strategy,Develop,Service design,1.43,1.93,1.25,0.49
Engineering Industry (excluding Civils), Strategy,Develop,Product design,1.94,2.52,1.61,0.72
Engineering Industry (excluding Civils), Strategy,Develop,Touchpoint design,1.08,1.38,0.91,0.43
Engineering Industry (excluding Civils), Strategy,Develop,Campaign idea development,0.97,1.18,0.82,0.40
Engineering Industry (excluding Civils), Strategy,Develop,Messaging development,1.68,2.00,1.37,0.75
Engineering Industry (excluding Civils), Strategy,Develop,Content development,0.92,1.14,0.77,0.27
Engineering Industry (excluding Civils), Strategy,Develop,Collateral design,1.96,2.34,1.57,0.48
Engineering Industry (excluding Civils), Strategy,Develop,Channel build,1.74,2.02,1.41,0.59
Engineering Industry (excluding Civils), Strategy,Develop,Reporting model,1.54,1.90,1.30,0.56
Engineering Industry (excluding Civils), Strategy,Deliver,Brand strategy documentation,0.47,0.62,0.40,0.17
Engineering Industry (excluding Civils), Strategy,Deliver,Business case development,0.54,0.67,0.46,0.16
Engineering Industry (excluding Civils), Strategy,Deliver,Board papers,0.42,0.53,0.35,0.09
Engineering Industry (excluding Civils), Strategy,Deliver,Implementation roadmap,0.62,0.83,0.54,0.31
Engineering Industry (excluding Civils), Strategy,Deliver,CX strategy documentation,0.35,0.46,0.30,0.10
Engineering Industry (excluding Civils), Strategy,Deliver,Business case development,0.49,0.61,0.42,0.25
Engineering Industry (excluding Civils), Strategy,Deliver,Board papers,0.82,0.98,0.66,0.35
Engineering Industry (excluding Civils), Strategy,Deliver,Implementation roadmap,0.56,0.68,0.46,0.27
Engineering Industry (excluding Civils), Strategy,Deliver,Launch campaign,0.51,0.67,0.44,0.26
